Iteration,Source_Folder,Image_File,GroundTruth_ID,Mask_Flag,Mask_Type,Detected_ID,Similarity_Score,Threshold,Status,Result_Description
1,New_Images,005647.jpg,005647,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
2,New_Images,009287.jpg,009287,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
3,New_Images,005375.jpg,005375,NONE,Unmasked,UNRECOGNIZED,0.293,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
4,New_Images,006238.jpg,006238,NONE,Unmasked,UNRECOGNIZED,0.2788,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
5,New_Images,009445.jpg,009445,NONE,Unmasked,UNRECOGNIZED,0.2573,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
6,New_Images,005838.jpg,005838,NONE,Unmasked,UNRECOGNIZED,0.2539,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
7,New_Images,005230.jpg,005230,NONE,Unmasked,UNRECOGNIZED,0.2349,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
8,New_Images,008276.jpg,008276,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
9,New_Images,007635.jpg,007635,NONE,Unmasked,UNRECOGNIZED,0.258,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
10,New_Images,007244.jpg,007244,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
11,New_Images,005785.jpg,005785,NONE,Unmasked,UNRECOGNIZED,0.3076,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
12,New_Images,005606.jpg,005606,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
13,New_Images,009050.jpg,009050,NONE,Unmasked,UNRECOGNIZED,0.2048,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
14,New_Images,006162.jpg,006162,NONE,Unmasked,UNRECOGNIZED,0.279,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
