Iteration,Source_Folder,Image_File,GroundTruth_ID,Detected_ID,Similarity_Score,Threshold,Status,Result_Description
1,Real Images,004085.jpg,4085,4085,1,0.35,TP,CORRECT_MATCH
2,New_Images,005835.jpg,5835,UNRECOGNIZED,0.2175,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
3,Real Images,001673.jpg,1673,1673,1,0.35,TP,CORRECT_MATCH
4,New_Images,006747.jpg,6747,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
5,Real Images,000908.jpg,908,908,1,0.35,TP,CORRECT_MATCH
6,New_Images,005403.jpg,5403,UNRECOGNIZED,0.2383,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
7,New_Images,008626.jpg,8626,UNRECOGNIZED,0.1922,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
8,New_Images,006789.jpg,6789,UNRECOGNIZED,0.271,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
9,Real Images,002518.jpg,2518,2518,1,0.35,TP,CORRECT_MATCH
10,Real Images,001176.jpg,1176,1176,1,0.35,TP,CORRECT_MATCH
11,New_Images,005045.jpg,5045,UNRECOGNIZED,0.274,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
12,New_Images,008316.jpg,8316,UNRECOGNIZED,0.2572,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
13,New_Images,007314.jpg,7314,UNRECOGNIZED,0.3315,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
14,New_Images,006125.jpg,6125,UNRECOGNIZED,0.2772,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
15,Real Images,000836.jpg,836,836,1,0.35,TP,CORRECT_MATCH
16,Real Images,004977.jpg,4977,4977,1,0.35,TP,CORRECT_MATCH
17,Real Images,003225.jpg,3225,3225,1,0.35,TP,CORRECT_MATCH
18,New_Images,008955.jpg,8955,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
19,Real Images,000020.jpg,20,20,1,0.35,TP,CORRECT_MATCH
20,New_Images,006371.jpg,6371,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
21,New_Images,006124.jpg,6124,UNRECOGNIZED,0.2329,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
22,Real Images,002558.jpg,2558,2558,1,0.35,TP,CORRECT_MATCH
23,Real Images,004879.jpg,4879,4879,1,0.35,TP,CORRECT_MATCH
24,Real Images,004063.jpg,4063,4063,1,0.35,TP,CORRECT_MATCH
25,Real Images,002782.jpg,2782,2782,1,0.35,TP,CORRECT_MATCH
26,New_Images,007650.jpg,7650,UNRECOGNIZED,0.2636,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
27,New_Images,009577.jpg,9577,UNRECOGNIZED,0.2977,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
28,Real Images,004969.jpg,4969,4969,1,0.35,TP,CORRECT_MATCH
29,New_Images,008681.jpg,8681,2581,0.4012,0.35,FP,MISIDENTIFIED_AS_002581
30,New_Images,005809.jpg,5809,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
31,Real Images,004751.jpg,4751,4751,1,0.35,TP,CORRECT_MATCH
32,Real Images,003993.jpg,3993,3993,1,0.35,TP,CORRECT_MATCH
33,New_Images,008871.jpg,8871,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
34,New_Images,008579.jpg,8579,UNRECOGNIZED,0.2265,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
35,Real Images,004905.jpg,4905,4905,1,0.35,TP,CORRECT_MATCH
36,New_Images,007730.jpg,7730,UNRECOGNIZED,0.265,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
37,Real Images,003002.jpg,3002,3002,1,0.35,TP,CORRECT_MATCH
38,Real Images,001915.jpg,1915,1915,1,0.35,TP,CORRECT_MATCH
39,New_Images,007480.jpg,7480,UNRECOGNIZED,0.2741,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
40,New_Images,007520.jpg,7520,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
41,Real Images,004791.jpg,4791,4791,1,0.35,TP,CORRECT_MATCH
42,Real Images,004070.jpg,4070,4070,1,0.35,TP,CORRECT_MATCH
43,Real Images,002138.jpg,2138,2138,1,0.35,TP,CORRECT_MATCH
44,New_Images,008011.jpg,8011,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
45,New_Images,005059.jpg,5059,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
46,New_Images,009046.jpg,9046,UNRECOGNIZED,0.3139,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
47,Real Images,002780.jpg,2780,2780,1,0.35,TP,CORRECT_MATCH
48,Real Images,000071.jpg,71,71,1,0.35,TP,CORRECT_MATCH
49,Real Images,004966.jpg,4966,4966,1,0.35,TP,CORRECT_MATCH
50,Real Images,000215.jpg,215,215,1,0.35,TP,CORRECT_MATCH
51,New_Images,007688.jpg,7688,UNRECOGNIZED,0.2672,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
52,Real Images,000616.jpg,616,616,1,0.35,TP,CORRECT_MATCH
53,Real Images,001958.jpg,1958,1958,1,0.35,TP,CORRECT_MATCH
54,New_Images,007735.jpg,7735,UNRECOGNIZED,0.3171,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
55,Real Images,002876.jpg,2876,2876,1,0.35,TP,CORRECT_MATCH
56,Real Images,003094.jpg,3094,3094,1,0.35,TP,CORRECT_MATCH
57,New_Images,006270.jpg,6270,UNRECOGNIZED,0.2613,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
58,New_Images,009447.jpg,9447,UNRECOGNIZED,0.2149,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
59,New_Images,006084.jpg,6084,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
60,New_Images,006535.jpg,6535,UNRECOGNIZED,0.238,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
61,Real Images,002295.jpg,2295,2295,1,0.35,TP,CORRECT_MATCH
62,New_Images,007159.jpg,7159,UNRECOGNIZED,0.2503,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
63,Real Images,003571.jpg,3571,3571,1,0.35,TP,CORRECT_MATCH
64,New_Images,008873.jpg,8873,UNRECOGNIZED,0.2507,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
65,Real Images,002844.jpg,2844,2844,1,0.35,TP,CORRECT_MATCH
66,Real Images,000064.jpg,64,64,1,0.35,TP,CORRECT_MATCH
67,Real Images,004918.jpg,4918,4918,1,0.35,TP,CORRECT_MATCH
68,Real Images,003866.jpg,3866,3866,1,0.35,TP,CORRECT_MATCH
69,New_Images,008312.jpg,8312,UNRECOGNIZED,0.2931,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
70,New_Images,005654.jpg,5654,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
71,New_Images,006218.jpg,6218,UNRECOGNIZED,0.2471,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
72,New_Images,008965.jpg,8965,UNRECOGNIZED,0.2179,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
73,New_Images,008453.jpg,8453,UNRECOGNIZED,0.2574,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
74,Real Images,001406.jpg,1406,1406,1,0.35,TP,CORRECT_MATCH
75,New_Images,009205.jpg,9205,UNRECOGNIZED,0.268,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
76,Real Images,004884.jpg,4884,4884,1,0.35,TP,CORRECT_MATCH
77,Real Images,004964.jpg,4964,4964,1,0.35,TP,CORRECT_MATCH
78,Real Images,004655.jpg,4655,4655,1,0.35,TP,CORRECT_MATCH
79,Real Images,004874.jpg,4874,4874,1,0.35,TP,CORRECT_MATCH
80,New_Images,009073.jpg,9073,UNRECOGNIZED,0.2335,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
81,Real Images,000586.jpg,586,586,1,0.35,TP,CORRECT_MATCH
82,Real Images,001288.jpg,1288,1288,1,0.35,TP,CORRECT_MATCH
83,New_Images,007402.jpg,7402,UNRECOGNIZED,0.2339,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
84,New_Images,009208.jpg,9208,UNRECOGNIZED,0.256,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
85,New_Images,008058.jpg,8058,UNRECOGNIZED,0.2478,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
86,New_Images,008123.jpg,8123,UNRECOGNIZED,0.2374,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
87,Real Images,002542.jpg,2542,2542,1,0.35,TP,CORRECT_MATCH
88,Real Images,000806.jpg,806,806,1,0.35,TP,CORRECT_MATCH
89,New_Images,008335.jpg,8335,UNRECOGNIZED,0.2816,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
90,Real Images,000545.jpg,545,545,1,0.35,TP,CORRECT_MATCH
91,Real Images,003972.jpg,3972,3972,1,0.35,TP,CORRECT_MATCH
92,New_Images,008950.jpg,8950,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
93,Real Images,002466.jpg,2466,2466,1,0.35,TP,CORRECT_MATCH
94,Real Images,002883.jpg,2883,2883,1,0.35,TP,CORRECT_MATCH
95,Real Images,003452.jpg,3452,3452,1,0.35,TP,CORRECT_MATCH
96,New_Images,008564.jpg,8564,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
